01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [localhost-startStop-1] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [localhost-startStop-1] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3ab287b4: startup date [Tue Jan 14 22:22:00 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [localhost-startStop-1] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.b.w.s.FilterRegistrationBean || [localhost-startStop-1] -configure-258- Mapping filter: 'characterEncodingFilter' to: [/*]
01-14-2020 INFO o.s.b.w.s.FilterRegistrationBean || [localhost-startStop-1] -configure-258- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
01-14-2020 INFO o.s.b.w.s.FilterRegistrationBean || [localhost-startStop-1] -configure-258- Mapping filter: 'httpPutFormContentFilter' to: [/*]
01-14-2020 INFO o.s.b.w.s.FilterRegistrationBean || [localhost-startStop-1] -configure-258- Mapping filter: 'requestContextFilter' to: [/*]
01-14-2020 INFO o.s.b.w.s.FilterRegistrationBean || [localhost-startStop-1] -configure-271- Mapping filter: 'ipFilter' to urls: [/*]
01-14-2020 INFO o.s.b.w.s.ServletRegistrationBean || [localhost-startStop-1] -onStartup-190- Mapping servlet: 'dispatcherServlet' to [/]
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [main] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4b47ceaf: startup date [Tue Jan 14 22:22:07 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [main] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [main] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@7f3df84: startup date [Tue Jan 14 22:22:07 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [main] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [main] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@611a234d: startup date [Tue Jan 14 22:22:08 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [main] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [main] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@3047b32c: startup date [Tue Jan 14 22:22:09 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [main] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
01-14-2020 INFO o.s.c.a.AnnotationConfigApplicationContext || [main] -prepareRefresh-583- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@49f7ce54: startup date [Tue Jan 14 22:22:09 CST 2020]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@59ab8480
01-14-2020 INFO o.s.b.f.a.AutowiredAnnotationBeanPostProcessor || [main] -<init>-155- JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
